[7, 11]
[9, 9]
[8, 11]
[9, 11]
[9, 10]
[9, 12]
[9, 14]
[10, 11]
[9, 13]
[9, 16]
[10, 15]
[11, 15]
[12, 11]
[13, 15]
[11, 11]
[9, 15]
[11, 16]
[12, 15]
[12, 16]
[12, 18]
[12, 17]
[13, 18]
[14, 18]
[15, 18]
[13, 11]
[13, 10]
[13, 9]
[12, 9]
[11, 9]
[11, 8]
[11, 7]
[12, 7]
[13, 7]
[9, 8]
[8, 8]
[7, 8]
[6, 8]
[5, 8]
[5, 9]
[5, 10]
[5, 11]
[14, 11]
[15, 11]
[17, 11]
[16, 11]
[17, 10]
[17, 9]
[17, 8]
[16, 8]
[17, 12]
[18, 12]
[19, 12]
[19, 11]
[13, 14]
[13, 13]
[14, 14]
[8, 15]
[7, 15]
[6, 15]
[6, 16]
[6, 17]
[6, 18]
